03/15/26 00:06:03:893 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 13798 | inside getLatestGCApplication
03/15/26 00:06:04:009 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 13798 | ***********AdobeGC Updater library invoked = 9.1.0.50 ************
03/15/26 00:06:04:009 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 13798 | Perform WF started
03/15/26 00:06:04:009 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 13798 | Perform WF completed
03/15/26 00:06:04:009 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 13798 | inside waitForCFUCallBack.
03/15/26 00:06:04:423 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Trying to acquire the semaphore
03/15/26 00:06:04:423 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Semaphore acquired
03/15/26 00:06:04:423 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Threaded CFU Started
03/15/26 00:06:04:423 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 17375 | Get client install path Started
03/15/26 00:06:04:424 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 17375 | Get client install path Ended
03/15/26 00:06:04:424 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Client sanitization started
03/15/26 00:06:04:424 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 17375 | Invoked VerifyCodeSign for app: /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
03/15/26 00:07:10:810 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 17375 | Status returned is 0 
03/15/26 00:07:10:813 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 17375 | Code signature is OK. 
03/15/26 00:07:10:817 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCCodeSignWrapper |  |  | 17375 | Completed VerifyCodeSign. 
03/15/26 00:07:10:826 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCVersionWrapper |  |  | 17375 | Getting version of package at /Library/Application Support/Adobe/AdobeGCClient/AdobeGCClient.app
03/15/26 00:07:10:856 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Client sanitization ended
03/15/26 00:07:10:857 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCClientHealthUtil |  |  | 17375 | Checking CEF dependencies
03/15/26 00:07:10:857 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Threaded CFU Ended
03/15/26 00:07:10:857 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterCFU |  |  | 17375 | Semaphore signalled
03/15/26 00:07:11:641 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 13798 | AdobeGC_CFUCallbackFn is invoked
03/15/26 00:07:11:641 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCInvokerUtilityHelper |  |  | 13798 | inside invokeGCApplication.
03/15/26 00:07:11:641 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 13798 | ***********AdobeGC Updater library invoked = 9.1.0.50 ************
03/15/26 00:07:11:641 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | Trying to acquire the semaphore
03/15/26 00:07:11:641 | [DEBUG] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | Semaphore acquired
03/15/26 00:07:11:641 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | Perform WF started
03/15/26 00:07:11:959 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | isOOCTargeted flag read
03/15/26 00:07:12:302 | [ERROR] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | Time flag read
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | GCInvokerNextClientLaunchTimestamp from cache 1773292424
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | GCInvokerNextClientLaunchTimestamp cached 1773292424 , curr 1773547632 res = 1
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Get XML path Started
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Create XML Started
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Adding generic details Started
03/15/26 00:07:12:302 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Adding generic details Ended
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Create XML Ended
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Storing XML Started
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Storing XML Ended
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterXMLWrapper |  |  | 13798 | Get XML path Ended
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | Invoking GC client started
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdaterIC |  |  | 13798 | override path for acrobat is 0
03/15/26 00:07:12:303 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 13798 | Get client install path Started
03/15/26 00:07:12:304 | [INFO] | 1503 | agcinvokerutility |  | AdobeGCUpdater |  |  | 13798 | Get client install path Ended
